app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
mushrooms,mlp,mushrooms/mlp,177,16,read,1.0,6,0.298833643385659,18.47633798934157,0.22371697685346886,0.4354259810869882,-0.10760675620679272,0.0034160809662932222
mushrooms,mlp,mushrooms/mlp,368,17,retrieve,1.0,6,0.453878937832033,19.14180784960612,0.24867032915549558,0.4567791669132101,0.7735009101266905,0.0100935402859826
mushrooms,mlp,mushrooms/mlp,368,17,read,1.0,6,0.921131387025298,16.784846411615675,0.7397128635756247,0.4567791669132101,0.7735009101266905,0.0100935402859826
mushrooms,mlp,mushrooms/mlp,134,18,retrieve,1.0,6,0.7793783556609721,18.95953512240895,0.7646888344773354,0.43952093921156565,-0.7994904746244361,0.00014185586124724426
mushrooms,mlp,mushrooms/mlp,134,18,read,1.0,6,0.9992497813456115,14.936893017792874,0.9851308955222146,0.43952093921156565,-0.7994904746244361,0.00014185586124724426
mushrooms,mlp,mushrooms/mlp,17,19,retrieve,1.0,6,0.6936675956934001,18.812432220607654,0.5644586982373342,0.4947459255439811,0.9032671424088545,0.006230395734139686
mushrooms,mlp,mushrooms/mlp,17,19,read,1.0,6,0.3791759784576537,17.50461059114619,0.2581153273028001,0.4947459255439811,0.9032671424088545,0.006230395734139686
mushrooms,mlp,mushrooms/mlp,83,20,retrieve,1.0,6,0.8642757408973062,19.988498440669137,0.6506132995800076,0.32390191360993087,-0.348609434209201,0.010088923983754114
mushrooms,mlp,mushrooms/mlp,83,20,read,1.0,6,0.9703957254443708,18.639225035060026,0.7703460009495635,0.32390191360993087,-0.348609434209201,0.010088923983754114
mushrooms,mlp,mushrooms/mlp,126,21,retrieve,1.0,6,0.6028154792126427,18.82150270863583,0.485957041307559,0.3722785143842234,0.9171486233356478,0.005571204357501787
mushrooms,mlp,mushrooms/mlp,126,21,read,1.0,6,0.06788738420643992,18.260860365354244,-0.04584760063275331,0.3722785143842234,0.9171486233356478,0.005571204357501787
mushrooms,mlp,mushrooms/mlp,40,22,retrieve,1.0,6,0.7025829236413614,19.436790664099327,0.6290213743683388,0.4205961144011156,0.8629374730902188,0.0031672692440285278
mushrooms,mlp,mushrooms/mlp,40,22,read,1.0,6,0.9994702349601535,14.997342192320327,0.939969614292246,0.4205961144011156,0.8629374730902188,0.0031672692440285278
mushrooms,mlp,mushrooms/mlp,356,23,retrieve,1.0,6,0.9196513193618421,19.999644966359163,0.6211325547226936,0.3437103291784683,-0.2514095963399612,0.01432619254597237
mushrooms,mlp,mushrooms/mlp,356,23,read,1.0,6,0.998167677489002,16.177235596982552,0.7544094854650717,0.3437103291784683,-0.2514095963399612,0.01432619254597237
mushrooms,mlp,mushrooms/mlp,307,24,retrieve,1.0,6,0.7713194771188594,18.568965671970748,0.7080160832127885,0.49794914941746576,0.5354661250940707,0.0027628568447143854
mushrooms,mlp,mushrooms/mlp,307,24,read,1.0,6,0.9831435482748224,15.416886936711641,0.9285488966775408,0.49794914941746576,0.5354661250940707,0.0027628568447143854
mushrooms,mlp,mushrooms/mlp,185,25,retrieve,1.0,6,0.2994321039317467,20.723903430898595,0.2017372700474489,0.3887150933005933,-0.1442150448921924,0.004135072051944126
mushrooms,mlp,mushrooms/mlp,185,25,read,1.0,6,0.04365556457291786,17.41366119680534,-0.0403511791640158,0.3887150933005933,-0.1442150448921924,0.004135072051944126
mushrooms,mlp,mushrooms/mlp,323,26,retrieve,1.0,6,0.49451933106124735,19.559046220505518,0.4131400513739506,0.3639387573427013,1.1748950879626578,0.0035471709052233916
mushrooms,mlp,mushrooms/mlp,323,26,read,1.0,6,0.7514951486601599,20.363432791808243,0.6672625723305857,0.3639387573427013,1.1748950879626578,0.0035471709052233916
mushrooms,mlp,mushrooms/mlp,241,27,retrieve,1.0,6,0.16195197352799232,20.252942093118765,0.11180161790643213,0.3568881843170438,-0.03242351630196072,0.0018836944996017313
mushrooms,mlp,mushrooms/mlp,241,27,read,1.0,6,0.4797424215920702,21.346895391328886,0.4275313921598504,0.3568881843170438,-0.03242351630196072,0.0018836944996017313
mushrooms,mlp,mushrooms/mlp,260,28,retrieve,1.0,6,0.34376244034393877,20.317736916355052,0.021866485738385243,0.44038647332230235,1.6796925435364751,0.015252483870686324
mushrooms,mlp,mushrooms/mlp,260,28,read,1.0,6,0.9991106295096818,14.965540269989871,0.7588489679255546,0.44038647332230235,1.6796925435364751,0.015252483870686324
mushrooms,mlp,mushrooms/mlp,151,29,retrieve,1.0,6,0.8746140430464454,18.55572451013834,0.779051280769756,0.3114577794253173,0.5501535848794354,0.004503341393704836
mushrooms,mlp,mushrooms/mlp,151,29,read,1.0,6,0.9999999923114445,14.603500722727908,0.9222354430137855,0.3114577794253173,0.5501535848794354,0.004503341393704836
mushrooms,mlp,mushrooms/mlp,294,30,retrieve,1.0,6,0.6849687376096493,19.542099342551104,0.37615819447672705,0.4488592587068275,0.1868026952601487,0.015188262935837443
mushrooms,mlp,mushrooms/mlp,294,30,read,1.0,6,0.9650639050612846,16.28219575951381,0.7057656346930113,0.4488592587068275,0.1868026952601487,0.015188262935837443
mushrooms,mlp,mushrooms/mlp,68,31,retrieve,1.0,6,0.4637310459654588,21.208347045978083,0.2587656164907835,0.34424999887496205,-0.00435503879811483,0.009098560536393567
mushrooms,mlp,mushrooms/mlp,68,31,read,1.0,6,0.636346271906439,21.724767758835675,0.4266821573135814,0.34424999887496205,-0.00435503879811483,0.009098560536393567
mushrooms,mlp,mushrooms/mlp,345,32,retrieve,1.0,6,0.576567597594513,18.77838186577449,0.48445030216540597,0.4603696530134137,1.185827997921085,0.0042664642780073075
mushrooms,mlp,mushrooms/mlp,345,32,read,1.0,6,0.9059652412456269,16.882227008550174,0.8219378227804375,0.4603696530134137,1.185827997921085,0.0042664642780073075
mushrooms,mlp,mushrooms/mlp,120,33,retrieve,1.0,6,0.43750287862910037,21.796939479323402,0.18259426570597992,0.4327680144101741,1.7944429782471003,0.01114416146145397
mushrooms,mlp,mushrooms/mlp,120,33,read,1.0,6,0.9996308309730866,14.850075960987716,0.8221391867489832,0.4327680144101741,1.7944429782471003,0.01114416146145397
mushrooms,mlp,mushrooms/mlp,29,34,retrieve,1.0,6,0.9956402189622431,18.296846096729723,0.7674137693879071,0.48578539340870086,-0.2399019452828619,0.011817689695328593
mushrooms,mlp,mushrooms/mlp,29,34,read,1.0,6,0.998538281903602,14.79472424733509,0.8116988216206421,0.48578539340870086,-0.2399019452828619,0.011817689695328593
mushrooms,mlp,mushrooms/mlp,8,35,retrieve,1.0,6,0.6873713050971635,19.31951478063666,0.3322900410947782,0.4799279132838297,-0.36958496412983555,0.017758275396556274
mushrooms,mlp,mushrooms/mlp,8,35,read,1.0,6,0.9961932291921839,15.047836574557017,0.7169696031788284,0.4799279132838297,-0.36958496412983555,0.017758275396556274
mushrooms,mlp,mushrooms/mlp,60,36,retrieve,1.0,6,0.8323638586655672,20.27217331461283,0.665561654155076,0.40275588315574956,-0.6498081483123638,0.007636191843274389
mushrooms,mlp,mushrooms/mlp,60,36,read,1.0,6,0.9847544352703071,16.367870146366396,0.8477662387668496,0.40275588315574956,-0.6498081483123638,0.007636191843274389
mushrooms,mlp,mushrooms/mlp,321,37,retrieve,1.0,6,0.7602034521776089,19.722795425714253,0.5170591200317982,0.43657468009328865,0.06843158568158136,0.011719653687856465
mushrooms,mlp,mushrooms/mlp,321,37,read,1.0,6,0.974269778185017,16.238929171708325,0.7719551520309657,0.43657468009328865,0.06843158568158136,0.011719653687856465
mushrooms,mlp,mushrooms/mlp,44,38,retrieve,1.0,6,0.5937499364921542,24.865180534331067,0.4382662798545322,0.302439514615394,1.7864283215769676,0.005770465106397109
mushrooms,mlp,mushrooms/mlp,44,38,read,1.0,6,0.9998546583614396,15.973758470471065,0.8956786424895711,0.302439514615394,1.7864283215769676,0.005770465106397109
mushrooms,mlp,mushrooms/mlp,39,39,retrieve,1.0,6,0.9284552337980131,19.667144171671552,0.7536142446278092,0.4741935415026503,-0.8506787123671297,0.00827984926274955
mushrooms,mlp,mushrooms/mlp,39,39,read,1.0,6,0.9097650587351155,16.654474259090332,0.759868522319505,0.4741935415026503,-0.8506787123671297,0.00827984926274955
adult,mlp,adult/mlp,228,0,retrieve,1.0,6,0.6176641679986848,18.43300103349925,0.43103553582205856,0.48649133703694947,0.009451514287533103,0.009473695132944689
adult,mlp,adult/mlp,228,0,read,1.0,6,0.9477889321389646,16.110713881839114,0.783160940448321,0.48649133703694947,0.009451514287533103,0.009473695132944689
adult,mlp,adult/mlp,335,1,retrieve,1.0,6,0.6560520189009422,20.994496916627703,0.5971031913785186,0.33103864775360553,0.057664629473563656,0.002236244464864503
adult,mlp,adult/mlp,335,1,read,1.0,6,0.9999732106475142,15.233504339739767,0.9539073708872817,0.33103864775360553,0.057664629473563656,0.002236244464864503
